"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.792032917E0,-1.674690071E-2,-8.242469072E-2,2.311989069E-3,8.414055870E-2
1.802011917E0,-3.331688661E-3,-1.123606807E-1,-2.115513487E-3,1.124299698E-1
1.812021917E0,1.890488874E-2,-1.107164437E-1,8.786017103E-3,1.126619715E-1
1.822000917E0,9.268951435E-3,-1.011375350E-1,-1.942795416E-2,1.034029006E-1
1.832010917E0,-7.523246929E-3,-8.557575524E-2,-6.674021082E-3,8.616467772E-2
1.842020917E0,-7.874134686E-3,-9.141536951E-2,-7.546425657E-3,9.206367536E-2
1.851999917E0,2.081232358E-2,-7.913738608E-2,-6.268215179E-3,8.206807668E-2
1.862009917E0,-5.154631231E-3,-6.446613729E-2,-3.775313258E-2,7.488492572E-2
1.871988917E0,-1.235598894E-2,-9.605338097E-2,-3.239006182E-2,1.021177681E-1
1.881998917E0,-4.374101032E-3,-1.056340438E-1,-2.754622837E-2,1.092541929E-1
1.891977917E0,-5.033813138E-3,-1.237405318E-1,-6.582790813E-3,1.240177069E-1
1.901987917E0,-4.297484234E-3,-1.210443807E-1,-3.345075130E-2,1.256549371E-1
1.911997917E0,-1.283275628E-2,-1.167045772E-1,-4.907801986E-2,1.272528585E-1
1.921976917E0,1.470694239E-1,-2.268760604E-1,-2.259364128E-1,3.523484424E-1
1.931986917E0,-7.113844989E-2,1.197907376E-1,-6.023953593E-1,6.182965864E-1
1.941965917E0,-2.990730938E-1,1.718601930E-1,-4.115878487E-1,5.370150823E-1
1.951975917E0,8.748757549E-2,-3.222950184E-1,-2.636415982E-1,4.254821349E-1
1.961954917E0,8.353708696E-2,-1.269880754E-1,-3.780868113E-1,4.074973044E-1
1.971964917E0,-1.970142569E-2,2.455830574E-3,-4.703324854E-1,4.707513400E-1
1.981974917E0,-1.038037557E-1,3.263506472E-2,-6.549396086E-1,6.639172825E-1
1.991953917E0,-1.018366244E-1,8.952671885E-3,-5.752479064E-1,5.842610737E-1
2.001963917E0,1.870268472E-1,-2.206394202E-1,-7.270498109E-1,7.824718671E-1
2.011942917E0,-4.431568198E-2,-2.168200189E-1,-6.005780447E-1,6.400537384E-1
2.021952917E0,-3.526457587E-2,-1.134792531E-1,-5.173148632E-1,5.307879039E-1
2.031961917E0,7.651898464E-2,-1.890673792E-1,-6.381651163E-1,6.699674205E-1
2.041941917E0,5.531652387E-2,-1.311325818E-1,-6.124280119E-1,6.287477567E-1
2.051950917E0,-5.998508703E-2,-1.313132608E-1,-3.059917935E-1,3.383376432E-1
2.061930917E0,-9.919180088E-3,-1.894731760E-1,-5.150087214E-1,5.488464791E-1
2.071939917E0,6.080007926E-2,-7.578342319E-2,-6.684455073E-1,6.754695945E-1
2.081919917E0,-1.603811585E-1,3.602294147E-2,-2.502783716E-1,2.994311801E-1
2.091928917E0,-8.605690800E-2,-1.646382970E-1,-1.185230521E-1,2.203616893E-1
2.101938917E0,-5.067776324E-2,-6.622264087E-2,-4.122591090E-1,4.206081868E-1
2.111917917E0,1.227633890E-2,-4.995217860E-2,-3.692621934E-1,3.728277030E-1
2.121927917E0,3.135171052E-2,-2.523868775E-1,-3.620139849E-1,4.424208302E-1
2.131906917E0,-1.512684374E-1,-9.300873578E-2,-4.469599950E-1,4.809428264E-1
2.141916917E0,-2.712234635E-2,-5.683318198E-2,-3.544944656E-1,3.600443839E-1
2.151895917E0,-2.289524797E-2,-8.428761363E-2,-1.950654531E-1,2.137267535E-1
2.161905917E0,-7.546288613E-2,-3.169541717E-2,-3.432420838E-1,3.528659444E-1
2.171915917E0,1.031878977E-1,-1.411827761E-1,-6.497870421E-1,6.729067682E-1
2.181894917E0,6.184837539E-3,-1.081857687E-1,-4.753002799E-1,4.874964295E-1
2.191904917E0,8.765800355E-2,-2.803506017E-2,-5.136977756E-1,5.218767046E-1
2.201883917E0,1.060757644E-1,-3.018800497E-1,-6.392538679E-1,7.148630217E-1
2.211893917E0,-5.367767723E-2,-1.352221245E-1,-2.277116275E-1,2.702200978E-1
2.221872917E0,-1.720473222E-1,-4.516623259E-2,-9.857585153E-2,2.033653563E-1
2.231882917E0,3.462269777E-2,-9.954124510E-2,3.761749545E-2,1.119029340E-1
2.241892917E0,2.487842252E-2,-3.120366633E-1,3.407289505E-2,3.148758125E-1
2.251871917E0,-3.595028982E-2,-7.036422372E-2,-5.338158885E-2,9.535796425E-2
2.261881917E0,1.221367685E-1,-7.732299507E-2,-1.580443919E-1,2.141827854E-1
2.271860917E0,-5.654834948E-2,-2.167270482E-1,1.403191423E-1,2.643062446E-1
2.281870917E0,-1.608252911E-1,-1.649733424E-2,4.126649058E-1,4.432034079E-1
2.291849917E0,-6.003040295E-2,-1.373516804E-1,3.109619451E-1,3.452049604E-1
2.301859917E0,1.642134419E-1,-1.739418018E-1,1.527035634E-1,2.837960239E-1
2.311869917E0,-2.350562420E-2,2.034363270E-2,-5.102982044E-2,5.975299436E-2
